"","record_id","outdesc","out","outprimary","outtype","outanalysis___1","outanalysis___2","outanalysis___3","outanalysis___4","outanalysisdesc","outhowgconfound___1","outhowgconfound___2","outhowgconfound___3","outhowgconfound___4","outhowgconfound___5","outhowgconfound___6","outhowgconfound___7","outhowgconfound___8","outhowconfounddesc","outconfdomains___1","outconfdomains___2","outconfdomains___3","outconfdomains___4","outconfdomains___5","outconfdomains___6","outconfdomains___7","outconfdomains___8","outconfdomains___9","outconfdomains___10","outconfdomains___11","outconfdomains___12","outconfdomains___13","outconfdomains___14","outconfdomains___15","outconfdomains___16","outconfdomains___17","outmingenetics","outmincoinfect","outminatopic","outminneonatal","outminchildsex","outminantibiotic","outminses","outminsibling","outminsmoking","outminnutrition","outminallergens","outminpollution","outminageexp","outminageout","expdesc","expmeth___1","expmeth___2","expmeth___3","expmeth___4","expmeth___5","exptype","exptime___1","exptime___2","exptime___3","exptimedesc","compdesc","type","time2needed","time3needed","expdesc.1","time","estype","esdesc","esmethod","es","es.se.report","es.se","n","expevent","expnonevent","compevent","compnonevent","outage","id","comparison"
"137",16,"Wheezing subsequent to bronchiolitis and/pneumonia hospitalization was the primary outcome. At the first control visit 4 weeks after hospital treatment the children were examined and the parents were interviewed. The history of previous wheezing, the number of the wheezing attacks if present were recorded.   In the course of the follow-up study, the children were examined and the parents were interviewed by the same author twice at I.5 to 2 years of age and again at 2.5 to 3 years of age. At all visits, the numbers of wheezing attacks and the age during each attack were registered. Throughout the follow-up, the data were collected by using standardized questionnaires; only the attacks diagnosed and treated by a physician were included. ",2,1,1,1,0,0,0,"The authors only state that, ""a chi-square test with a correction devised by Yates was applied.""",0,0,0,0,0,1,0,0,"[Steve: Table 1 shows that the percent of children breast feeding for 3+ months was equal across the groups, so the potential confounding effect was somewhat reduced]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"[Steve: RSV(+) LRTI (in either group) --Table 3]",1,0,0,0,0,1,0,1,0,"","[Steve: RSV(-) LRTI (in either group) --Table 3]",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",16,2
"145",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"Birth to 6 months","hospitalized for acute bronchiolitis in first 6 months of life and pathogens other than RSV or no pathogen ('Group 3 and Group 4 combined')",2,2,1,NA,1,1,"I HAND CALCULATED the odds ratio based on the descriptive statistics given in Table 5    [Steve: OR=1.19, SE=0.48  OR 0.78 (95% CI 0.37-0.64)",2,1.19,1,0.48,102,47,33,12,10,"wheezing between six months and 3 years",17,1
"153",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"Birth to 6 months","hospitalized for acute bronchiolitis in first 6 months of life and pathogens other than RSV or no pathogen ('Group 3 and Group 4 combined')",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17,1
"150",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"Birth to 6 months","hospitalized for acute bronchiolitis in first 6 months of life and pathogens other than RSV or no pathogen ('Group 3 and Group 4 combined')",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17,1
"146",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"birth to six months","hospitalized for acute bronchiolitis in first 6 months of life and pathogens other than RSV ('Group 3')",2,2,1,NA,1,1,"I HAND CALCULATED the odds ratio based on the descriptive statistics given in Table 5    OR 0.95 (95% CI 0.31-2.92)",2,0.95,1,0.57,95,47,33,9,6,"wheezing between six months and 3 years",17,2
"147",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"birth to six months","hospitalized for acute bronchiolitis in first 6 months of life and pathogens other than RSV ('Group 3')",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17,2
"148",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"birth to six months","hospitalized for acute bronchiolitis in first 6 months of life and pathogens other than RSV ('Group 3')",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17,2
"151",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"birth to six months","hospitalized for acute bronchiolitis in first 6 months of life and no pathogen identified ('Group 4')",2,2,1,NA,1,1,"I HAND CALCULATED the odds ratio based on the descriptive statistics given in Table 5    [Steve: OR=1.90, SE=0.80]  OR 1.90 (95% CI 0.40-9.05)",1,1.9,1,0.8,87,47,33,3,4,"wheezing between six months and 3 years",17,3
"152",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"birth to six months","hospitalized for acute bronchiolitis in first 6 months of life and no pathogen identified ('Group 4')",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17,3
"149",17,"The primary outcome was recurrent wheezing episode, defined as 2 or more episodes of wheezing between 6 months and 3 years of age.  Data were collected from ambulatory children's records.",2,1,1,0,1,0,0,"chi-squared test was performed to assess the difference in recurrent wheezing between 4 groups: 1) RSV plus one or more pathogens, 2) RSV alone, 3) pathogens other than RSV, and 4) no pathogen. A  multivariate logistic regression model was also used to examine possible risk factors affecting the outcome.  ",0,0,0,0,0,0,0,1,"[Steve: Matched study and control groups on several factors and ran multivariable logistic regression, but calculation of relevant effect sizes (comparing RSV-LRTI vs. non-RSV-LRTI)  was based on descriptive (naive) data. So no effort to reduce confounding in these comparisons.]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hospitalized for acute bronchiolitis in first 6 months of life and only RSV positive (labeled as 'Group 2' in table 5)",1,0,0,0,0,2,0,0,1,"birth to six months","hospitalized for acute bronchiolitis in first 6 months of life and no pathogen identified ('Group 4')",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17,3
"198",22,"The primary outcome was report of physician diagnosed asthma.",1,1,1,0,1,0,0,"logistic regression was performed to estimate the association of asthma with early-infection (RSV or LRI) history,  ",0,1,0,0,0,0,0,0,"The analysis controlled for age, sex, ethnicity, ancestry, socioeconomic factors, environmental factors (history of farm animal exposure, received antibiotics during first year), family history of asthma, and recruitment site.",1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,2,"Symptomatic bronchiolitis / RSV episodes requiring medical attention within the first 2 years  of life was ascertained by the following question: ""Was <CHILD> diagnosed with bronchiolitis  or RSV before age 2 yrs.""",0,0,0,1,0,1,0,1,0,"","Symptomatic lower respiratory tract illnesses (LRI) requiring medical attention within the first  2 years of life was ascertained by the following question: ""Was <CHILD> seen by a doctor for  chest illness before age 2 yrs."" (we don't know if the child was assessed for RSV or not)",2,10,1,NA,1,1,"there was a significant increase in the likelihood of asthma in subjects with a history of  early life infection such as RSV bronchiolitis   aOR 9.92 (95% CI 4.88-20.16)",1,9.92,1,0.36,3483,161,16,952,174,"ever asthma diagnosis by age 8-21 (ages 0-21)",22,1
"195",22,"The primary outcome was report of physician diagnosed asthma.",1,1,1,0,1,0,0,"logistic regression was performed to estimate the association of asthma with early-infection (RSV or LRI) history,  ",0,1,0,0,0,0,0,0,"The analysis controlled for age, sex, ethnicity, ancestry, socioeconomic factors, environmental factors (history of farm animal exposure, received antibiotics during first year), family history of asthma, and recruitment site.",1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,2,"Symptomatic bronchiolitis / RSV episodes requiring medical attention within the first 2 years  of life was ascertained by the following question: ""Was <CHILD> diagnosed with bronchiolitis  or RSV before age 2 yrs.""",0,0,0,1,0,1,0,1,0,"","Symptomatic lower respiratory tract illnesses (LRI) requiring medical attention within the first  2 years of life was ascertained by the following question: ""Was <CHILD> seen by a doctor for  chest illness before age 2 yrs."" (we don't know if the child was assessed for RSV or not)",2,10,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",22,1
"196",22,"The primary outcome was report of physician diagnosed asthma.",1,1,1,0,1,0,0,"logistic regression was performed to estimate the association of asthma with early-infection (RSV or LRI) history,  ",0,1,0,0,0,0,0,0,"The analysis controlled for age, sex, ethnicity, ancestry, socioeconomic factors, environmental factors (history of farm animal exposure, received antibiotics during first year), family history of asthma, and recruitment site.",1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,2,"Symptomatic bronchiolitis / RSV episodes requiring medical attention within the first 2 years  of life was ascertained by the following question: ""Was <CHILD> diagnosed with bronchiolitis  or RSV before age 2 yrs.""",0,0,0,1,0,1,0,1,0,"","Symptomatic lower respiratory tract illnesses (LRI) requiring medical attention within the first  2 years of life was ascertained by the following question: ""Was <CHILD> seen by a doctor for  chest illness before age 2 yrs."" (we don't know if the child was assessed for RSV or not)",2,10,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",22,1
"208",24,"ASTHMA by mean age 6: 'Asthma was defined as at least three episodes of bronchial obstruction confirmed by a pediatrician.  Current asthma was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,1,1,0,0,0,1,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI with HBoV (Table 2)",2,2,1,NA,1,1,"[Steve: I inverted the odds ratio so that HBoV is the reference group.]    OR 1.29 (95% CI 0.99-1.66)  HAND CALCULATED the SE",2,0.78,1,0.13,80,49,21,10,0,"ever asthma diagnosis by age 6 (ages 0-6)",24,1
"1333",24,"CURRENT ASTHMA: was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,3,1,0,1,0,0,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI with HBoV (Table 2)",2,2,1,NA,1,1,"[Steve: I inverted the OR so that HBoV is the reference group.]    OR 2.188 (95% CI 1.029-4652) (Table 1)  HAND CALCULATED the SE",2,0.46,1,0.38,80,16,54,5,5,"RW withages 3-6",24,1
"209",24,"ASTHMA by mean age 6: 'Asthma was defined as at least three episodes of bronchial obstruction confirmed by a pediatrician.  Current asthma was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,1,1,0,0,0,1,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI with HBoV (Table 2)",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24,1
"1334",24,"CURRENT ASTHMA: was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,3,1,0,1,0,0,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI with HBoV (Table 2)",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24,1
"214",24,"ASTHMA by mean age 6: 'Asthma was defined as at least three episodes of bronchial obstruction confirmed by a pediatrician.  Current asthma was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,1,1,0,0,0,1,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI with HBoV (Table 2)",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24,1
"1339",24,"CURRENT ASTHMA: was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,3,1,0,1,0,0,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI with HBoV (Table 2)",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24,1
"212",24,"ASTHMA by mean age 6: 'Asthma was defined as at least three episodes of bronchial obstruction confirmed by a pediatrician.  Current asthma was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,1,1,0,0,0,1,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","[Steve: Unclear to me what the comparator group is.]     LRTI without RSV (any viral type)- (Table 3)",2,2,1,NA,1,1,"OR 14.40 (95% CI 6.88-30.14)  ",2,14.4,1,0.38,80,49,21,NA,NA,"ever asthma diagnosis by age ~6",24,2
"1337",24,"CURRENT ASTHMA: was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,3,1,0,1,0,0,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI without RSV (any viral type)- (Table 3)",2,2,1,NA,1,1,"OR 4.70 (95% CI 2.02-10.90) (Table 3)",2,4.7,1,0.43,80,16,54,NA,NA,"ever asthma diagnosis by age 4 (ages 0-4)",24,2
"213",24,"ASTHMA by mean age 6: 'Asthma was defined as at least three episodes of bronchial obstruction confirmed by a pediatrician.  Current asthma was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,1,1,0,0,0,1,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","[Steve: Unclear to me what the comparator group is.]     LRTI without RSV (any viral type)- (Table 3)",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24,2
"1338",24,"CURRENT ASTHMA: was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,3,1,0,1,0,0,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI without RSV (any viral type)- (Table 3)",2,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2
"216",24,"ASTHMA by mean age 6: 'Asthma was defined as at least three episodes of bronchial obstruction confirmed by a pediatrician.  Current asthma was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,1,1,0,0,0,1,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,1,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","[Steve: Unclear to me what the comparator group is.]     LRTI without RSV (any viral type)- (Table 3)",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24,2
"1341",24,"CURRENT ASTHMA: was defined as recurrent wheezing with at least one episode occurring in the year prior to the follow-up visit.' (so technically 'current asthma' is recurrent wheezing)",1,3,1,0,1,0,0,"Clinical characteristics and laboratory variables were compared using the Student t test, the Mann---Whitney U test, the chi-squared test, and Fisher's exact test, where appropriate.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRTI- RSV positive",1,0,0,0,0,2,0,1,0,"","LRTI without RSV (any viral type)- (Table 3)",2,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2
"1344",25,"ASTHMA: Asthma diagnosis was made on the basis of one of the following: 1) the GINA guideline in children with recurrent wheezing with predictive factors; 2) a doctor's diagnosis and the child's being prescribed inhaled corticosteroid for control.",1,3,1,0,0,1,0,"Cox regression analysis was used to estimate the hazard ratio of the risk factors of subsequent development of wheezing and asthma.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Steve: RSV(+) LRTI]    URTI-RSV positive",1,0,0,0,0,2,0,1,0,"","[Steve: RSV(-) LRTI]    URTI without RSV  ""The RNA and DNA were extracted from the nasopharyngeal secretion to detect for four RNA viruses (viz., RSV, hMPV, influenza A and influenza B) and atypical bacterial pathogens (M. pneumoniae, C. pneumoniae and C. trachomatis).""",2,2,1,NA,1,4,"Table 6-  HR 0.94 (95% CI 0.36-2.43)  -To figure out how many children contributed to this analysis, I had to go to the second paragraph under ""Subsequent wheezing and asthma"" in the results.  ""At the end of the 3rd and 5th years, we were able to contact 152 (89%) and 91 (60%) of the parents/children for medical information, respectively.""",1,0.94,1,0.49,91,27,NA,NA,NA,"asthma after initial hospitalization (ages 0-5 years)",25,1
"1342",25,"ASTHMA: Asthma diagnosis was made on the basis of one of the following: 1) the GINA guideline in children with recurrent wheezing with predictive factors; 2) a doctor's diagnosis and the child's being prescribed inhaled corticosteroid for control.",1,3,1,0,0,1,0,"Cox regression analysis was used to estimate the hazard ratio of the risk factors of subsequent development of wheezing and asthma.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Steve: RSV(+) LRTI]    URTI-RSV positive",1,0,0,0,0,2,0,1,0,"","[Steve: RSV(-) LRTI]    URTI without RSV  ""The RNA and DNA were extracted from the nasopharyngeal secretion to detect for four RNA viruses (viz., RSV, hMPV, influenza A and influenza B) and atypical bacterial pathogens (M. pneumoniae, C. pneumoniae and C. trachomatis).""",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",25,1
